driver_number,lap_number,stint_number,compound,tyre_life,lap_duration,sector1,sector2,sector3,i1_speed,i2_speed,st_speed
1,1,1,HARD,0,110.203,35.639,45.712,28.852,294,261,224
1,2,1,HARD,1,101.596,29.484,43.638,28.474,288,258,283
1,3,1,HARD,2,101.51,29.192,43.226,29.092,290,272,281
1,4,1,HARD,3,101.143,29.199,43.338,28.606,300,261,291
1,5,1,HARD,4,101.308,29.224,43.414,28.67,,254,295
1,6,1,HARD,5,101.313,29.28,43.618,28.415,313,269,
1,7,1,HARD,6,100.423,29.547,42.619,28.257,286,253,276
1,8,1,HARD,7,100.177,29.375,42.775,28.027,288,258,284
1,9,1,HARD,8,100.264,29.366,42.774,28.124,291,257,286
1,10,1,HARD,9,100.408,29.385,42.904,28.119,290,259,284
1,11,1,HARD,10,100.423,29.174,43.092,28.157,294,265,293
1,12,1,HARD,11,100.602,29.376,43.056,28.17,283,257,282
1,13,1,HARD,12,100.693,29.363,43.118,28.212,288,260,283
1,14,1,HARD,13,100.633,29.398,43.147,28.088,290,261,282
1,15,1,HARD,14,100.206,29.35,42.748,28.108,289,262,
1,16,1,HARD,15,100.39,29.385,43.003,28.002,290,259,281
1,17,1,HARD,16,100.481,29.424,42.957,28.1,291,262,283
1,18,1,HARD,17,100.464,29.297,42.985,28.182,290,261,281
1,19,1,HARD,18,100.746,29.317,43.302,28.127,,260,283
1,20,1,HARD,19,118.294,29.329,51.424,37.541,291,178,281
1,23,1,HARD,22,103.346,29.525,44.42,29.401,289,260,284
1,24,1,HARD,23,101.971,29.646,43.187,29.138,286,258,
1,25,1,HARD,24,100.7,29.509,43.123,28.068,288,258,279
1,26,1,HARD,25,100.244,29.323,42.895,28.026,289,260,283
1,27,1,HARD,26,101.18,29.264,43.775,28.141,,261,281
1,28,1,HARD,27,101.431,29.371,43.923,28.137,,268,
1,29,1,HARD,28,100.437,29.239,43.116,28.082,290,259,282
1,30,1,HARD,29,100.326,29.215,42.984,28.127,,262,283
1,31,1,HARD,30,100.247,29.203,42.946,28.098,291,261,284
1,32,1,HARD,31,100.033,29.169,42.944,27.92,290,262,
1,33,1,HARD,32,100.087,29.136,42.96,27.991,288,261,283
1,34,1,HARD,33,100.378,29.177,43.109,28.092,289,261,282
1,35,1,HARD,34,100.266,29.137,43.13,27.999,,261,281
1,36,1,HARD,35,100.372,29.08,43.147,28.145,,263,284
1,37,1,HARD,36,100.224,29.14,43.006,28.078,290,262,283
1,38,1,HARD,37,100.61,29.19,43.225,28.195,289,262,284
1,39,1,HARD,38,101.173,29.285,43.547,28.341,290,262,283
1,40,1,HARD,39,108.808,29.206,43.467,36.135,289,262,
1,42,2,MEDIUM,1,97.713,28.603,41.522,27.588,288,263,284
1,43,2,MEDIUM,2,116.357,29.711,49.36,37.286,310,177,290
1,45,2,MEDIUM,4,104.939,35.63,41.895,27.414,283,260,183
1,46,2,MEDIUM,5,97.57,28.654,41.533,27.383,292,262,283
1,47,2,MEDIUM,6,98.09,28.369,42.457,27.264,307,274,286
1,48,2,MEDIUM,7,98.333,28.439,42.401,27.493,309,276,283
1,49,2,MEDIUM,8,97.085,28.514,41.362,27.209,290,261,281
1,50,2,MEDIUM,9,99.006,28.78,42.024,28.202,293,278,285
1,51,2,MEDIUM,10,97.144,28.628,41.326,27.19,286,261,280
1,52,2,MEDIUM,11,96.835,28.472,41.24,27.123,289,263,286
1,53,2,MEDIUM,12,97.132,28.473,41.433,27.226,292,262,
1,54,2,MEDIUM,13,98.196,28.438,42.164,27.594,312,280,285
1,55,2,MEDIUM,14,96.899,28.515,41.295,27.089,289,262,284
1,56,2,MEDIUM,15,97.519,28.578,41.452,27.489,291,273,286
1,57,2,MEDIUM,16,99.299,28.694,42.968,27.637,316,276,299
1,58,2,MEDIUM,17,96.912,28.514,41.186,27.212,286,259,279
1,59,2,MEDIUM,18,96.748,28.471,41.224,27.053,289,262,283
1,60,2,MEDIUM,19,96.758,28.486,41.22,27.052,,263,284
1,61,2,MEDIUM,20,96.575,28.434,41.086,27.055,292,266,
1,62,2,MEDIUM,21,98.197,28.493,41.975,27.729,293,267,287
4,1,1,MEDIUM,0,106.781,33.993,44.349,28.439,280,264,201
4,2,1,MEDIUM,1,101.826,29.585,43.945,28.296,286,264,285
4,3,1,MEDIUM,2,101.124,29.106,43.583,28.435,293,273,276
4,4,1,MEDIUM,3,101.678,29.17,43.643,28.865,292,273,291
4,5,1,MEDIUM,4,100.285,29.252,42.811,28.222,279,257,279
4,6,1,MEDIUM,5,99.992,29.381,42.659,27.952,275,257,276
4,7,1,MEDIUM,6,99.972,29.227,42.587,28.158,273,263,285
4,8,1,MEDIUM,7,100.301,29.356,42.773,28.172,276,263,284
4,9,1,MEDIUM,8,100.13,29.284,42.752,28.094,277,263,286
4,10,1,MEDIUM,9,99.974,29.159,42.708,28.107,275,264,
4,11,1,MEDIUM,10,100.355,29.404,42.912,28.039,274,263,285
4,12,1,MEDIUM,11,100.466,29.442,43.004,28.02,286,262,274
4,13,1,MEDIUM,12,100.372,29.334,42.962,28.076,277,263,284
4,14,1,MEDIUM,13,100.421,29.233,42.914,28.274,281,263,285
4,15,1,MEDIUM,14,100.247,28.89,43.203,28.154,287,267,290
4,16,1,MEDIUM,15,100.342,29.325,43.123,27.894,282,265,296
4,17,1,MEDIUM,16,100.024,29.204,42.904,27.916,280,264,287
4,18,1,MEDIUM,17,99.693,29.255,42.625,27.813,284,264,285
4,19,1,MEDIUM,18,99.88,29.119,42.794,27.967,283,265,
4,23,2,HARD,2,102.789,29.34,44.449,29.0,297,269,286
4,24,2,HARD,3,100.32,29.515,42.757,28.048,288,273,277
4,25,2,HARD,4,100.24,29.092,42.849,28.299,283,263,276
4,26,2,HARD,5,99.484,29.22,42.244,28.02,282,262,285
4,27,2,HARD,6,99.406,29.037,42.218,28.151,281,265,284
4,28,2,HARD,7,100.267,29.005,42.994,28.268,270,266,286
4,29,2,HARD,8,100.097,29.109,42.798,28.19,274,264,281
4,30,2,HARD,9,99.736,29.07,42.852,27.814,277,271,282
4,31,2,HARD,10,99.367,28.609,42.715,28.043,287,274,289
4,32,2,HARD,11,99.291,28.588,42.707,27.996,298,276,298
4,33,2,HARD,12,99.663,28.629,43.15,27.884,288,269,293
4,34,2,HARD,13,100.06,29.058,42.986,28.016,277,264,285
4,35,2,HARD,14,99.701,28.836,43.027,27.838,285,273,288
4,36,2,HARD,15,99.462,28.668,42.955,27.839,298,273,292
4,37,2,HARD,16,99.838,28.727,43.204,27.907,286,274,293
4,38,2,HARD,17,99.72,28.743,43.017,27.96,281,271,291
4,39,2,HARD,18,99.271,28.872,42.701,27.698,287,269,293
4,40,2,HARD,19,99.346,28.9,42.66,27.786,282,268,290
4,41,2,HARD,20,99.662,28.828,43.002,27.832,284,273,
4,42,2,HARD,21,99.606,28.539,43.082,27.985,290,273,302
4,43,2,HARD,22,99.56,28.698,43.016,27.846,303,278,293
4,46,2,HARD,25,98.046,28.63,41.946,27.47,294,267,288
4,47,2,HARD,26,98.157,28.735,41.953,27.469,,267,
4,48,2,HARD,27,98.049,28.533,42.103,27.413,,267,289
4,49,2,HARD,28,98.173,28.599,42.125,27.449,291,268,283
4,50,2,HARD,29,98.148,28.612,42.099,27.437,294,268,284
4,51,2,HARD,30,98.124,28.645,42.127,27.352,293,268,289
4,52,2,HARD,31,98.25,28.643,42.184,27.423,,268,287
